"name","location","type","url","email"
"National City Christian Church","5 Thomas Cir NW","Disciples of Christ Church","http://www.nationalcitycc.org/","connect@nationalcitycc.org"
"Metropolitan African Methodist Episcopal Church","1518 M St NW","Methodist church","http://www.metropolitaname.org/","virtualworship@metropolitaname.org"
"Metropolitan African Methodist Episcopal Church","1518 M St NW","Methodist church","http://www.metropolitaname.org/","virtualworship@metropolitanamec.org"
"Metropolitan African Methodist Episcopal Church","1518 M St NW","Methodist church","http://www.metropolitaname.org/","mail@example.com"
"Metropolitan African Methodist Episcopal Church","1518 M St NW","Methodist church","http://www.metropolitaname.org/","contact@metropolitanamec.org"
"Metropolitan African Methodist Episcopal Church","1518 M St NW","Methodist church","http://www.metropolitaname.org/","CONTACT@METROPOLITANAMEC.ORG"
"All Souls Church","1500 Harvard St NW","Unitarian Universalist Church","http://www.all-souls.org/","allsouls@allsouls.ws"
"The Table Church - Downtown","945 G St. NW","Church","http://thetablechurchdc.org/","info@thetabledc.org"
"St. Patrick's Catholic Church","619 10th St NW","Catholic church","https://www.saintpatrickdc.org/","office@saintpatrickdc.org"
"Metropolitan Community Church of Washington D.C.","474 Ridge St NW","Protestant church","http://www.mccdc.com/","churchoffice@mccdc.com"
"The Table Church - CoHi Parish","3333 14th St NW","Church","http://thetablechurchdc.org/","info@thetabledc.org"
"Foundry United Methodist Church","1500 16th St NW","United Methodist church","http://www.foundryumc.org/","Webmaster@livedesign.org"
